date,close,中国债10,非中进出口,成交量笔,中工财,美财政,非中GDP,中GDP,非中M2,中电,中进出口,中外贸,中财政综,中汇率,美股,金银,中储,中能源,中零售三产中M,另外股指
1997/3/5,-1.21727873844312,-1.6625469939452167,-5.879288456050719,-1.0455707157719083,-3.7723501789244906,-2.6518511148626516,-5.90759255648886,-1.7531666345089087,-0.7554806714811939,-2.704863040997064,-3.1070958199666756,-1.5706669228751404,-2.8132920210191568,2.1625295457777924,-3.390172497349896,-2.3026321283812443,-1.9210475378285214,-3.5665048249018207,-1.640803548216257,-1.821009799259172
1997/3/6,-1.201325014938457,-1.66239317392365,-5.875734847067088,-1.050745420980183,-3.7718887217593275,-2.655239682208167,-5.904205235970492,-1.7548892437995853,-0.7557756212685431,-2.7046141484539583,-3.1064764277679138,-1.5702394179356256,-2.81280439563719,2.159268221901298,-3.3700439818753596,-2.3080845616193497,-1.920917783566582,-3.5677222836333717,-1.6409848865106096,-1.7948997626756922
1997/3/7,-1.1751580789446214,-1.6622393539020834,-5.872181238083459,-1.0474865157098956,-3.771427264594165,-2.6586282495536824,-5.900817915452125,-1.7566118530902624,-0.7560705710558926,-2.7043652559108526,-3.1058570355691515,-1.5698119129961103,-2.8123167702552228,2.1578408055076066,-3.3469279357674386,-2.3090281015445138,-1.9207880293046424,-3.5689397423649223,-1.6411662248049623,-1.798336088869239
1997/3/10,-1.171434092462155,-1.6620855338805167,-5.86862762909983,-1.0475062175199221,-3.770965807429002,-2.658449743017727,-5.897430594933757,-1.7583344623809394,-0.7563655208432419,-2.7041163633677465,-3.105237643370389,-1.569384408056595,-2.811829144873256,2.1553540182518955,-3.3161641558959105,-2.311269981124756,-1.920658275042703,-3.5701572010964724,-1.6413475630993148,-1.7772107675164335
1997/3/11,-1.156911415779363,-1.66193171385895,-5.8650740201162,-1.0403715188187226,-3.7705043502638387,-2.658271236481772,-5.894043274415392,-1.7600570716716164,-0.7563773612853617,-2.703867470824641,-3.104618251171628,-1.56895690311708,-2.8113415194912896,2.153143307694801,-3.3082163385084487,-2.3091840618547383,-1.9205285207807634,-3.5713746598280225,-1.6415289013936674,-1.762008091093989
1997/3/12,-1.155345426139308,-1.6617778938373835,-5.86152041113257,-1.0346979343141642,-3.7700428930986765,-2.658092729945816,-5.890655953897024,-1.7617796809622936,-0.7563892017274818,-2.7036185782815347,-3.103998858972865,-1.568529398177565,-2.810853894109322,2.15170713375849,-3.324426573246924,-2.3069722250102167,-1.9203987665188238,-3.572592118559573,-1.6417102396880203,-1.7438342695634341
1997/3/13,-1.1720021581967686,-1.6616240738158166,-5.857966802148941,-1.039370422512645,-3.769581435933513,-2.6582888324570226,-5.887268633378657,-1.7635022902529705,-0.7564010421696017,-2.703369685738429,-3.1033794667741033,-1.5681018932380497,-2.810366268727355,2.1509742878826525,-3.368509467252075,-2.3090159013435185,-1.9202690122568844,-3.573809577291123,-1.6418915779823728,-1.75328783223961
1997/3/14,-1.186125447667677,-1.66147025379425,-5.854413193165311,-1.0416238371807347,-3.7691199787683503,-2.658484934968229,-5.88388131286029,-1.7652248995436475,-0.7564128826117216,-2.7031207931953234,-3.1027600745753414,-1.5676743882985344,-2.809878643345388,2.1497517396272703,-3.3548068126291257,-2.3058423314211614,-1.9201392579949448,-3.5750270360226737,-1.6420729162767254,-1.741241182042396
1997/3/17,-1.186125447667677,-1.6613164337726833,-5.850859584181682,-1.0303151533116415,-3.768658521603187,-2.6590565189406434,-5.880493992341923,-1.7669475088343243,-0.7564247230538415,-2.7028719006522173,-3.1021406823765787,-1.5672468833590194,-2.8093910179634207,2.146704041431704,-3.3497623393577927,-2.308185007337646,-1.9200095037330054,-3.5762444947542242,-1.6422542545710779,-1.708775379047157
1997/3/18,-1.1406888948868656,-1.6611626137511168,-5.847305975198053,-1.029623618548661,-3.768197064438025,-2.6596281029130573,-5.877106671823555,-1.7686701181250015,-0.7564853754520353,-2.702623008109111,-3.1015212901778164,-1.5668193784195044,-2.808903392581454,2.1444308798569196,-3.3604180889573563,-2.315463499820725,-1.919879749471066,-3.577461953485775,-1.6424355928654304,-1.706094625966031
